date_start,driver_number,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,lap_number,meeting_key,segments_sector_1,segments_sector_2,segments_sector_3,session_key,st_speed
2025-12-07 13:06:35.108000+00:00,6,18.233,38.155,33.823,289,309,False,90.211,3,1276,"[2048, 2049, 2048, 2048, 2049]","[2048, 2048, 2049, 2049, 2049, 2048, 2048, 2048, 2049]","[2049, 2048, 2049, 2049, 2049, 2048, 2049, 2048, 2048, 2048]",9839,315
2025-12-07 13:06:35.548000+00:00,31,18.307,38.157,33.842,288,306,False,90.306,3,1276,"[None, 2049, 2048, 2048, 2049]","[2048, 2048, 2048, 2049, 2049, 2048, 2048, 2049, 2049]","[2048, 2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]",9839,320
2025-12-07 13:06:36.208000+00:00,22,18.447,38.02,33.916,,299,False,90.383,3,1276,"[2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048, 2049, 2049]","[2049, 2049, 2048, 2048, 2049, 2048, 2049, 2049, 2048, 2048]",9839,322
2025-12-07 13:06:36.877000+00:00,30,18.498,38.21,33.758,,307,False,90.466,3,1276,"[None, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2049]","[2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2048, 2048]",9839,315
2025-12-07 13:06:37.454000+00:00,87,18.265,38.264,33.938,,306,False,90.467,3,1276,"[2048, 2049, 2049, 2049, 2051]","[2048, 2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2049, 2048, 2049, 2049, 2048, 2049, 2048, 2048]",9839,318
2025-12-07 13:06:38.058000+00:00,44,18.336,37.947,33.83,281,310,False,90.113,3,1276,"[2048, 2049, 2048, 2049, 2049]","[2048, 2049, 2048, 2048, 2048, 2049, 2049, 2049, 2049]","[2048, 2049, 2049, 2048, 2049, 2049, 2049, 2048, 2048, 2048]",9839,329
2025-12-07 13:06:39.039000+00:00,55,18.309,37.805,34.005,285,297,False,90.119,3,1276,"[2048, 2049, 2049, 2049, 2049]","[2048, 2049, 2049, 2048, 2048, 2049, 2049, 2048, 2048]","[2049, 2048, 2048, 2049, 2049, 2049, 2049, 2049, 2048, 2048]",9839,320
2025-12-07 13:06:39.526000+00:00,23,18.233,37.994,33.997,289,315,False,90.224,3,1276,"[2048, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048]","[2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049, 2048, 2048]",9839,326
2025-12-07 13:06:39.890000+00:00,18,18.515,38.069,33.735,285,294,False,90.319,3,1276,"[2048, 2048, 2049, 2048, 2049]","[2049, 2049, 2048, 2048, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2048, 2048, 2049, 2049, 2049, 2049, 2049, 2048]",9839,322
2025-12-07 13:06:40.383000+00:00,12,18.513,38.017,33.962,,322,False,90.492,3,1276,"[2048, 2049, 2049, 2049, 2048]","[2048, 2049, 2048, 2048, 2048, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",9839,331
2025-12-07 13:06:40.821000+00:00,27,18.507,37.99,34.018,284,304,False,90.515,3,1276,"[2048, 2048, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2051, 2048, 2049, 2049, 2048]","[2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",9839,325
