category,date,driver_number,flag,lap_number,meeting_key,message,qualifying_phase,scope,sector,session_key
Other,2025-12-07 13:12:03+00:00,,,6,1276,TURN 5 INCIDENT INVOLVING CARS 10 (GAS) AND 27 (HUL) NOTED - CAUSING A COLLISION,,,,9839
Other,2025-12-07 13:12:53+00:00,,,7,1276,FIA STEWARDS: TURN 7 INCIDENT INVOLVING CARS 44 (HAM) AND 23 (ALB) REVIEWED NO FURTHER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,9839
Other,2025-12-07 13:13:40+00:00,,,7,1276,TURN 8 INCIDENT INVOLVING CARS 87 (BEA) AND 30 (LAW) NOTED,,,,9839
Other,2025-12-07 13:14:11+00:00,,,8,1276,CAR 30 (LAW) TIME 1:30.219 DELETED - TRACK LIMITS AT TURN 1 LAP 5 17:09:45,,,,9839
Other,2025-12-07 13:14:12+00:00,,,8,1276,CAR 44 (HAM) TIME 1:30.229 DELETED - TRACK LIMITS AT TURN 1 LAP 5 17:09:47,,,,9839
Other,2025-12-07 13:14:33+00:00,,,8,1276,FIA STEWARDS: TURN 6 INCIDENT INVOLVING CARS 12 (ANT) AND 18 (STR) REVIEWED NO FURTHER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,9839
Other,2025-12-07 13:16:01+00:00,,,9,1276,CAR 22 (TSU) TIME 1:30.395 DELETED - TRACK LIMITS AT TURN 1 LAP 8 17:14:16,,,,9839
Other,2025-12-07 13:16:30+00:00,,,9,1276,FIA STEWARDS: TURN 5 INCIDENT INVOLVING CARS 10 (GAS) AND 27 (HUL) UNDER INVESTIGATION - CAUSING A COLLISION,,,,9839
Other,2025-12-07 13:17:41+00:00,,,10,1276,FIA STEWARDS: TURN 5 INCIDENT INVOLVING CARS 10 (GAS) AND 27 (HUL) NO FURTHER ACTION - CAUSING A COLLISION,,,,9839
Other,2025-12-07 13:18:09+00:00,,,10,1276,UPDATE: TURN 8 INCIDENT INVOLVING CARS 30 (LAW) AND 87 (BEA) NOTED - DRIVING ERRATICALLY,,,,9839
Other,2025-12-07 13:18:25+00:00,,,10,1276,FIA STEWARDS: TURN 8 INCIDENT INVOLVING CARS 30 (LAW) AND 87 (BEA) UNDER INVESTIGATION - DRIVING ERRATICALLY,,,,9839
Other,2025-12-07 13:18:54+00:00,,,11,1276,CAR 16 (LEC) TIME 1:29.654 DELETED - TRACK LIMITS AT TURN 1 LAP 9 17:15:39,,,,9839
Other,2025-12-07 13:18:57+00:00,,,11,1276,CAR 22 (TSU) TIME 1:30.184 DELETED - TRACK LIMITS AT TURN 1 LAP 9 17:15:46,,,,9839
Other,2025-12-07 13:20:39+00:00,,,12,1276,CAR 87 (BEA) TIME 1:30.903 DELETED - TRACK LIMITS AT TURN 1 LAP 11 17:18:49,,,,9839
Other,2025-12-07 13:21:16+00:00,,,12,1276,CAR 10 (GAS) TIME 1:31.135 DELETED - TRACK LIMITS AT TURN 1 LAP 11 17:18:54,,,,9839
Other,2025-12-07 13:23:13+00:00,,,14,1276,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 30 (LAW) - DRIVING ERRATICALLY,,,,9839
Other,2025-12-07 13:24:52+00:00,,,15,1276,CAR 55 (SAI) TIME 1:31.059 DELETED - TRACK LIMITS AT TURN 1 LAP 14 17:23:22,,,,9839
Other,2025-12-07 13:29:47+00:00,,,18,1276,CAR 23 (ALB) TIME 1:30.133 DELETED - TRACK LIMITS AT TURN 1 LAP 17 17:28:08,,,,9839
Other,2025-12-07 13:30:57+00:00,,,19,1276,TURN 9 INCIDENT INVOLVING CARS 16 (LEC) AND 63 (RUS) NOTED - MOVING UNDER BRAKING,,,,9839
Other,2025-12-07 13:30:59+00:00,,,19,1276,CAR 55 (SAI) LAP DELETED - TRACK LIMITS AT TURN 1 LAP 18 17:29:27 (PIT),,,,9839
Other,2025-12-07 13:32:36+00:00,,,20,1276,TURN 6 INCIDENT INVOLVING CARS 30 (LAW) AND 18 (STR) NOTED,,,,9839
Other,2025-12-07 13:32:38+00:00,,,20,1276,CAR 12 (ANT) TIME 1:31.119 DELETED - TRACK LIMITS AT TURN 1 LAP 19 17:30:59,,,,9839
Other,2025-12-07 13:32:58+00:00,,,20,1276,CAR 23 (ALB) TIME 1:30.047 DELETED - TRACK LIMITS AT TURN 1 LAP 19 17:31:08,,,,9839
Other,2025-12-07 13:34:41+00:00,,,21,1276,FIA STEWARDS: TURN 6 INCIDENT INVOLVING CARS 30 (LAW) AND 18 (STR) REVIEWED NO FURTHER INVESTIGATION,,,,9839
Other,2025-12-07 13:35:38+00:00,,,22,1276,CAR 30 (LAW) TIME 1:35.813 DELETED - TRACK LIMITS AT TURN 7 LAP 21 17:34:40,,,,9839
Flag,2025-12-07 13:37:38+00:00,30,BLACK AND WHITE,23,1276,BLACK AND WHITE FLAG FOR CAR 30 (LAW) - TRACK LIMITS,,Driver,,9839
Other,2025-12-07 13:38:29+00:00,,,24,1276,TURN 5 INCIDENT INVOLVING CARS 22 (TSU) AND 4 (NOR) NOTED,,,,9839
Other,2025-12-07 13:40:46+00:00,,,25,1276,UPDATE: TURN 5 INCIDENT INVOLVING CARS 22 (TSU) AND 4 (NOR) NOTED - FORCING ANOTHER DRIVER OFF THE TRACK,,,,9839
Other,2025-12-07 13:41:01+00:00,,,26,1276,TURN 5 INCIDENT INVOLVING CARS 4 (NOR) AND 22 (TSU) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,9839
Other,2025-12-07 13:41:21+00:00,,,26,1276,FIA STEWARDS: TURN 5 INCIDENT INVOLVING CARS 22 (TSU) AND 4 (NOR) UNDER INVESTIGATION - FORCING ANOTHER DRIVER OFF THE TRACK,,,,9839
Other,2025-12-07 13:41:25+00:00,,,26,1276,FIA STEWARDS: TURN 5 INCIDENT INVOLVING CARS 4 (NOR) AND 22 (TSU) UNDER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,9839
Other,2025-12-07 13:42:07+00:00,,,26,1276,CAR 27 (HUL) TIME 1:30.732 DELETED - TRACK LIMITS AT TURN 1 LAP 22 17:35:35,,,,9839
Other,2025-12-07 13:42:08+00:00,,,26,1276,CAR 6 (HAD) TIME 1:30.078 DELETED - TRACK LIMITS AT TURN 6 LAP 23 17:37:47,,,,9839
Other,2025-12-07 13:42:09+00:00,,,26,1276,CAR 43 (COL) TIME 1:30.138 DELETED - TRACK LIMITS AT TURN 1 LAP 25 17:40:23,,,,9839
Other,2025-12-07 13:42:26+00:00,,,27,1276,CAR 44 (HAM) TIME 1:29.810 DELETED - TRACK LIMITS AT TURN 1 LAP 25 17:40:05,,,,9839
Other,2025-12-07 13:42:34+00:00,,,27,1276,FIA STEWARDS: PENALTY SERVED - 5 SECOND TIME PENALTY FOR CAR 30 (LAW) - DRIVING ERRATICALLY,,,,9839
Other,2025-12-07 13:42:47+00:00,,,27,1276,CAR 12 (ANT) TIME 1:30.200 DELETED - TRACK LIMITS AT TURN 1 LAP 25 17:40:06,,,,9839
Other,2025-12-07 13:44:35+00:00,,,28,1276,CAR 44 (HAM) TIME 1:30.144 DELETED - TRACK LIMITS AT TURN 1 LAP 27 17:43:05,,,,9839
Other,2025-12-07 13:46:38+00:00,,,29,1276,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 22 (TSU) - MORE THAN ONE CHANGE OF DIRECTION,,,,9839
Other,2025-12-07 13:47:04+00:00,,,30,1276,FIA STEWARDS: TURN 5 INCIDENT INVOLVING CARS 4 (NOR) AND 22 (TSU) NO FURTHER ACTION - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,9839
Other,2025-12-07 13:47:27+00:00,,,30,1276,CAR 10 (GAS) TIME 1:29.747 DELETED - TRACK LIMITS AT TURN 4 LAP 24 17:38:57,,,,9839
Other,2025-12-07 13:47:51+00:00,,,30,1276,CAR 27 (HUL) TIME 1:30.573 DELETED - TRACK LIMITS AT TURN 1 LAP 29 17:46:09,,,,9839
Other,2025-12-07 13:48:09+00:00,,,30,1276,CAR 12 (ANT) TIME 1:29.821 DELETED - TRACK LIMITS AT TURN 1 LAP 26 17:41:36,,,,9839
Other,2025-12-07 13:48:31+00:00,,,31,1276,CAR 43 (COL) TIME 1:29.652 DELETED - TRACK LIMITS AT TURN 1 LAP 26 17:41:53,,,,9839
Flag,2025-12-07 13:48:40+00:00,12,BLACK AND WHITE,31,1276,BLACK AND WHITE FLAG FOR CAR 12 (ANT) - TRACK LIMITS,,Driver,,9839
Flag,2025-12-07 13:48:58+00:00,44,BLACK AND WHITE,31,1276,BLACK AND WHITE FLAG FOR CAR 44 (HAM) - TRACK LIMITS,,Driver,,9839
