date,driver_number,meeting_key,position,session_key
2025-12-07 13:28:00.902000+00:00,18,1276,6,9839
2025-12-07 13:28:01.924000+00:00,4,1276,8,9839
2025-12-07 13:28:01.924000+00:00,16,1276,9,9839
2025-12-07 13:28:01.924000+00:00,55,1276,7,9839
2025-12-07 13:28:02.495000+00:00,4,1276,9,9839
2025-12-07 13:28:02.495000+00:00,16,1276,10,9839
2025-12-07 13:28:02.495000+00:00,12,1276,8,9839
2025-12-07 13:28:08.791000+00:00,14,1276,13,9839
2025-12-07 13:28:08.791000+00:00,44,1276,12,9839
2025-12-07 13:28:10.055000+00:00,14,1276,14,9839
2025-12-07 13:28:10.055000+00:00,27,1276,13,9839
2025-12-07 13:28:32.596000+00:00,14,1276,15,9839
2025-12-07 13:28:32.596000+00:00,5,1276,14,9839
2025-12-07 13:28:52.029000+00:00,14,1276,14,9839
2025-12-07 13:28:52.029000+00:00,5,1276,15,9839
2025-12-07 13:29:45.330000+00:00,4,1276,8,9839
2025-12-07 13:29:45.330000+00:00,12,1276,9,9839
2025-12-07 13:30:05.367000+00:00,30,1276,6,9839
2025-12-07 13:30:05.367000+00:00,18,1276,5,9839
2025-12-07 13:30:15.025000+00:00,30,1276,5,9839
2025-12-07 13:30:15.025000+00:00,18,1276,6,9839
2025-12-07 13:30:16.490000+00:00,4,1276,7,9839
2025-12-07 13:30:16.490000+00:00,55,1276,8,9839
2025-12-07 13:30:47.846000+00:00,55,1276,9,9839
2025-12-07 13:30:47.846000+00:00,12,1276,8,9839
2025-12-07 13:30:47.889000+00:00,55,1276,8,9839
2025-12-07 13:30:47.889000+00:00,12,1276,9,9839
2025-12-07 13:30:51.849000+00:00,55,1276,9,9839
2025-12-07 13:30:51.849000+00:00,12,1276,8,9839
2025-12-07 13:30:52.527000+00:00,16,1276,9,9839
2025-12-07 13:30:52.527000+00:00,55,1276,10,9839
2025-12-07 13:30:58.579000+00:00,63,1276,10,9839
2025-12-07 13:30:58.579000+00:00,55,1276,11,9839
2025-12-07 13:30:59.703000+00:00,55,1276,12,9839
2025-12-07 13:30:59.703000+00:00,44,1276,11,9839
2025-12-07 13:31:00.746000+00:00,55,1276,13,9839
2025-12-07 13:31:00.746000+00:00,27,1276,12,9839
2025-12-07 13:31:03.223000+00:00,14,1276,13,9839
2025-12-07 13:31:03.223000+00:00,55,1276,14,9839
2025-12-07 13:31:04.050000+00:00,5,1276,14,9839
2025-12-07 13:31:04.050000+00:00,55,1276,15,9839
2025-12-07 13:31:05.695000+00:00,55,1276,16,9839
2025-12-07 13:31:05.695000+00:00,23,1276,15,9839
2025-12-07 13:31:07.962000+00:00,6,1276,16,9839
2025-12-07 13:31:07.962000+00:00,55,1276,17,9839
2025-12-07 13:31:10.466000+00:00,87,1276,17,9839
2025-12-07 13:31:10.466000+00:00,55,1276,18,9839
2025-12-07 13:31:24.168000+00:00,4,1276,6,9839
2025-12-07 13:31:24.168000+00:00,18,1276,7,9839
2025-12-07 13:31:26.190000+00:00,55,1276,19,9839
2025-12-07 13:31:26.190000+00:00,10,1276,18,9839
2025-12-07 13:31:30.210000+00:00,16,1276,8,9839
2025-12-07 13:31:30.210000+00:00,12,1276,9,9839
2025-12-07 13:31:36.251000+00:00,4,1276,5,9839
2025-12-07 13:31:36.251000+00:00,30,1276,6,9839
2025-12-07 13:31:46.363000+00:00,4,1276,6,9839
2025-12-07 13:31:46.363000+00:00,30,1276,5,9839
2025-12-07 13:31:50.367000+00:00,55,1276,18,9839
2025-12-07 13:31:50.367000+00:00,10,1276,19,9839
2025-12-07 13:31:53.282000+00:00,4,1276,5,9839
2025-12-07 13:31:53.282000+00:00,30,1276,6,9839
2025-12-07 13:32:16.603000+00:00,31,1276,4,9839
2025-12-07 13:32:16.603000+00:00,22,1276,3,9839
2025-12-07 13:32:25.091000+00:00,4,1276,4,9839
2025-12-07 13:32:25.091000+00:00,31,1276,5,9839
2025-12-07 13:32:26.134000+00:00,31,1276,6,9839
2025-12-07 13:32:26.134000+00:00,30,1276,5,9839
2025-12-07 13:32:26.707000+00:00,31,1276,7,9839
2025-12-07 13:32:26.707000+00:00,18,1276,6,9839
2025-12-07 13:32:27.149000+00:00,16,1276,7,9839
2025-12-07 13:32:27.149000+00:00,31,1276,8,9839
2025-12-07 13:32:28.090000+00:00,31,1276,9,9839
2025-12-07 13:32:28.090000+00:00,12,1276,8,9839
2025-12-07 13:32:28.812000+00:00,63,1276,9,9839
2025-12-07 13:32:28.812000+00:00,31,1276,10,9839
2025-12-07 13:32:29.628000+00:00,31,1276,11,9839
2025-12-07 13:32:29.628000+00:00,44,1276,10,9839
2025-12-07 13:32:30.368000+00:00,31,1276,12,9839
2025-12-07 13:32:30.368000+00:00,27,1276,11,9839
2025-12-07 13:32:33.430000+00:00,14,1276,12,9839
2025-12-07 13:32:33.430000+00:00,31,1276,13,9839
2025-12-07 13:32:34.163000+00:00,5,1276,13,9839
2025-12-07 13:32:34.163000+00:00,31,1276,14,9839
2025-12-07 13:32:35.758000+00:00,31,1276,15,9839
2025-12-07 13:32:35.758000+00:00,23,1276,14,9839
2025-12-07 13:32:38.405000+00:00,31,1276,16,9839
2025-12-07 13:32:38.405000+00:00,6,1276,15,9839
2025-12-07 13:32:48.747000+00:00,31,1276,17,9839
2025-12-07 13:32:48.747000+00:00,87,1276,16,9839
2025-12-07 13:32:55.884000+00:00,16,1276,6,9839
2025-12-07 13:32:55.884000+00:00,18,1276,7,9839
2025-12-07 13:33:07.783000+00:00,16,1276,5,9839
2025-12-07 13:33:07.783000+00:00,30,1276,6,9839
2025-12-07 13:33:09.692000+00:00,63,1276,8,9839
2025-12-07 13:33:09.692000+00:00,12,1276,9,9839
2025-12-07 13:34:30.876000+00:00,30,1276,7,9839
2025-12-07 13:34:30.876000+00:00,18,1276,6,9839
2025-12-07 13:34:49.965000+00:00,30,1276,6,9839
2025-12-07 13:34:49.965000+00:00,18,1276,7,9839
