air_temperature,date,humidity,meeting_key,pressure,rainfall,session_key,track_temperature,wind_direction,wind_speed
26.4,2025-12-07 13:38:07.622000+00:00,64.0,1276,1016.8,0,9839,30.4,334,2.4
26.4,2025-12-07 13:39:07.620000+00:00,64.0,1276,1016.8,0,9839,30.2,320,2.0
26.4,2025-12-07 13:40:07.628000+00:00,64.0,1276,1016.8,0,9839,30.3,302,1.8
26.3,2025-12-07 13:41:07.634000+00:00,64.0,1276,1016.8,0,9839,30.2,7,1.6
26.3,2025-12-07 13:42:07.650000+00:00,64.0,1276,1016.8,0,9839,30.2,48,1.1
26.3,2025-12-07 13:43:07.639000+00:00,64.0,1276,1016.9,0,9839,30.2,291,1.2
26.3,2025-12-07 13:44:07.648000+00:00,64.0,1276,1016.9,0,9839,30.1,18,1.2
26.3,2025-12-07 13:45:07.633000+00:00,64.0,1276,1016.9,0,9839,30.3,317,2.4
26.3,2025-12-07 13:46:07.649000+00:00,64.0,1276,1016.9,0,9839,30.3,298,1.9
26.3,2025-12-07 13:47:07.649000+00:00,64.0,1276,1016.9,0,9839,29.9,290,1.9
26.3,2025-12-07 13:48:07.652000+00:00,64.0,1276,1017.0,0,9839,30.1,303,1.9
26.3,2025-12-07 13:49:07.651000+00:00,64.0,1276,1016.9,0,9839,30.1,310,1.7
26.3,2025-12-07 13:50:07.651000+00:00,64.0,1276,1017.0,0,9839,29.8,298,2.5
26.3,2025-12-07 13:51:07.651000+00:00,64.0,1276,1016.9,0,9839,29.9,286,2.1
26.2,2025-12-07 13:52:07.650000+00:00,64.0,1276,1016.9,0,9839,30.0,334,1.0
26.2,2025-12-07 13:53:07.656000+00:00,63.0,1276,1017.0,0,9839,30.0,307,2.4
26.2,2025-12-07 13:54:07.654000+00:00,64.0,1276,1016.9,0,9839,30.0,323,1.9
26.2,2025-12-07 13:55:07.651000+00:00,64.0,1276,1017.0,0,9839,30.1,291,2.4
26.2,2025-12-07 13:56:07.651000+00:00,64.0,1276,1017.0,0,9839,29.8,303,2.4
26.2,2025-12-07 13:57:07.652000+00:00,64.0,1276,1017.1,0,9839,29.8,326,1.8
26.2,2025-12-07 13:58:07.680000+00:00,64.0,1276,1017.0,0,9839,29.7,229,1.7
26.2,2025-12-07 13:59:07.677000+00:00,64.0,1276,1017.1,0,9839,29.7,303,0.8
26.2,2025-12-07 14:00:07.680000+00:00,64.0,1276,1017.0,0,9839,29.7,358,1.2
26.2,2025-12-07 14:01:07.694000+00:00,64.0,1276,1017.0,0,9839,29.8,302,1.6
26.2,2025-12-07 14:02:07.712000+00:00,64.0,1276,1017.0,0,9839,29.6,334,2.3
26.2,2025-12-07 14:03:07.713000+00:00,64.0,1276,1017.0,0,9839,29.6,325,1.2
26.1,2025-12-07 14:04:07.727000+00:00,64.0,1276,1017.0,0,9839,29.6,322,1.0
26.1,2025-12-07 14:05:07.732000+00:00,64.0,1276,1017.0,0,9839,29.5,78,1.1
26.1,2025-12-07 14:06:07.754000+00:00,64.0,1276,1017.0,0,9839,29.5,13,1.2
26.1,2025-12-07 14:07:07.754000+00:00,64.0,1276,1017.0,0,9839,29.5,286,1.6
26.1,2025-12-07 14:08:07.754000+00:00,64.0,1276,1017.0,0,9839,29.4,0,0.8
26.1,2025-12-07 14:09:07.770000+00:00,64.0,1276,1017.0,0,9839,29.6,337,1.1
26.1,2025-12-07 14:10:07.775000+00:00,64.0,1276,1017.1,0,9839,29.7,112,1.1
26.1,2025-12-07 14:11:07.800000+00:00,64.0,1276,1017.1,0,9839,29.7,0,0.8
26.1,2025-12-07 14:12:07.805000+00:00,64.0,1276,1017.1,0,9839,29.7,295,1.4
26.2,2025-12-07 14:13:07.803000+00:00,64.0,1276,1017.1,0,9839,29.5,290,1.2
26.1,2025-12-07 14:14:07.788000+00:00,64.0,1276,1017.1,0,9839,29.5,104,1.2
26.1,2025-12-07 14:15:07.796000+00:00,64.0,1276,1017.1,0,9839,29.5,101,0.8
26.1,2025-12-07 14:16:07.804000+00:00,65.0,1276,1017.1,0,9839,29.5,261,1.2
26.1,2025-12-07 14:17:07.808000+00:00,65.0,1276,1017.1,0,9839,29.4,85,0.9
26.1,2025-12-07 14:18:07.802000+00:00,65.0,1276,1017.2,0,9839,29.4,339,0.9
26.1,2025-12-07 14:19:07.808000+00:00,65.0,1276,1017.1,0,9839,29.3,140,1.2
26.1,2025-12-07 14:20:07.808000+00:00,65.0,1276,1017.2,0,9839,29.3,238,1.3
26.1,2025-12-07 14:21:07.811000+00:00,65.0,1276,1017.2,0,9839,29.3,134,1.0
26.1,2025-12-07 14:22:07.809000+00:00,65.0,1276,1017.2,0,9839,29.5,115,1.1
26.1,2025-12-07 14:23:08.033000+00:00,65.0,1276,1017.2,0,9839,29.4,125,1.3
26.1,2025-12-07 14:24:07.840000+00:00,65.0,1276,1017.2,0,9839,29.6,356,1.1
26.1,2025-12-07 14:25:07.846000+00:00,66.0,1276,1017.2,0,9839,29.4,287,1.3
26.1,2025-12-07 14:26:07.863000+00:00,66.0,1276,1017.2,0,9839,29.3,107,1.3
26.1,2025-12-07 14:27:07.855000+00:00,66.0,1276,1017.1,0,9839,29.3,166,0.7
