date,driver_number,gap_to_leader,interval,meeting_key,session_key
2025-12-07 14:26:15.718000+00:00,14,66.299,18.147,1276,9839
2025-12-07 14:26:15.988000+00:00,44,70.58500000000001,0.866,1276,9839
2025-12-07 14:26:16.082000+00:00,81,13.7,13.7,1276,9839
2025-12-07 14:26:16.093000+00:00,22,80.089,1.489,1276,9839
2025-12-07 14:26:16.543000+00:00,55,77.628,0.929,1276,9839
2025-12-07 14:26:16.955000+00:00,43,,6.142,1276,9839
2025-12-07 14:26:17.022000+00:00,12,81.041,0.952,1276,9839
2025-12-07 14:26:17.442000+00:00,27,78.542,0.914,1276,9839
2025-12-07 14:26:17.503000+00:00,10,,1.943,1276,9839
2025-12-07 14:26:17.618000+00:00,63,48.35,23.128,1276,9839
2025-12-07 14:26:17.780000+00:00,18,75.495,2.924,1276,9839
2025-12-07 14:26:17.988000+00:00,31,69.595,3.29,1276,9839
2025-12-07 14:26:18.010000+00:00,14,66.31,18.159,1276,9839
2025-12-07 14:26:18.018000+00:00,87,72.649,2.064,1276,9839
2025-12-07 14:26:18.797000+00:00,81,13.697,13.697,1276,9839
2025-12-07 14:26:18.806000+00:00,44,70.397,0.802,1276,9839
2025-12-07 14:26:18.883000+00:00,4,16.498,2.798,1276,9839
2025-12-07 14:26:19.018000+00:00,31,69.578,3.279,1276,9839
2025-12-07 14:26:19.029000+00:00,5,76.765,1.27,1276,9839
2025-12-07 14:26:19.074000+00:00,22,80.181,1.639,1276,9839
2025-12-07 14:26:19.124000+00:00,30,,5.745,1276,9839
2025-12-07 14:26:19.588000+00:00,16,24.518,8.063,1276,9839
2025-12-07 14:26:19.635000+00:00,23,83.663,2.622,1276,9839
2025-12-07 14:26:19.805000+00:00,44,70.39,0.812,1276,9839
2025-12-07 14:26:19.997000+00:00,55,77.701,0.936,1276,9839
2025-12-07 14:26:20.090000+00:00,12,81.161,0.98,1276,9839
2025-12-07 14:26:20.164000+00:00,43,,6.056,1276,9839
2025-12-07 14:26:20.735000+00:00,14,66.311,18.147,1276,9839
2025-12-07 14:26:20.871000+00:00,27,78.569,0.868,1276,9839
2025-12-07 14:26:20.888000+00:00,18,75.5,2.851,1276,9839
2025-12-07 14:26:21.009000+00:00,87,72.594,2.197,1276,9839
2025-12-07 14:26:21.029000+00:00,10,,1.919,1276,9839
2025-12-07 14:26:21.261000+00:00,31,69.572,3.262,1276,9839
2025-12-07 14:26:21.273000+00:00,30,,5.732,1276,9839
2025-12-07 14:26:21.446000+00:00,16,24.532,8.045,1276,9839
2025-12-07 14:26:21.610000+00:00,4,16.493,2.796,1276,9839
2025-12-07 14:26:21.931000+00:00,63,48.27,23.219,1276,9839
2025-12-07 14:26:22.019000+00:00,87,72.596,2.206,1276,9839
2025-12-07 14:26:22.135000+00:00,44,70.401,0.829,1276,9839
2025-12-07 14:26:22.144000+00:00,81,13.689,13.689,1276,9839
2025-12-07 14:26:22.260000+00:00,5,76.893,1.393,1276,9839
2025-12-07 14:26:22.513000+00:00,22,80.225,1.656,1276,9839
2025-12-07 14:26:22.576000+00:00,23,83.69200000000001,2.531,1276,9839
