date,meeting_key,overtaken_driver_number,overtaking_driver_number,position,session_key
2025-12-07 13:28:02.495000+00:00,1276,16,12,9,9839
2025-12-07 13:28:02.495000+00:00,1276,4,12,8,9839
2025-12-07 13:28:08.791000+00:00,1276,14,44,12,9839
2025-12-07 13:28:10.055000+00:00,1276,14,27,13,9839
2025-12-07 13:28:32.596000+00:00,1276,14,5,14,9839
2025-12-07 13:28:52.029000+00:00,1276,5,14,14,9839
2025-12-07 13:29:45.330000+00:00,1276,12,4,8,9839
2025-12-07 13:30:05.367000+00:00,1276,30,18,5,9839
2025-12-07 13:30:15.025000+00:00,1276,18,30,5,9839
2025-12-07 13:30:16.490000+00:00,1276,55,4,7,9839
2025-12-07 13:30:47.846000+00:00,1276,55,12,8,9839
2025-12-07 13:30:47.889000+00:00,1276,12,55,8,9839
2025-12-07 13:30:51.849000+00:00,1276,55,12,8,9839
2025-12-07 13:30:52.527000+00:00,1276,55,16,9,9839
2025-12-07 13:30:58.579000+00:00,1276,55,63,10,9839
2025-12-07 13:30:59.703000+00:00,1276,55,44,11,9839
2025-12-07 13:31:00.746000+00:00,1276,55,27,12,9839
2025-12-07 13:31:03.223000+00:00,1276,55,14,13,9839
2025-12-07 13:31:04.050000+00:00,1276,55,5,14,9839
2025-12-07 13:31:05.695000+00:00,1276,55,23,15,9839
2025-12-07 13:31:07.962000+00:00,1276,55,6,16,9839
2025-12-07 13:31:10.466000+00:00,1276,55,87,17,9839
2025-12-07 13:31:24.168000+00:00,1276,18,4,6,9839
2025-12-07 13:31:26.190000+00:00,1276,55,10,18,9839
2025-12-07 13:31:30.210000+00:00,1276,12,16,8,9839
2025-12-07 13:31:36.251000+00:00,1276,30,4,5,9839
2025-12-07 13:31:46.363000+00:00,1276,4,30,5,9839
2025-12-07 13:31:50.367000+00:00,1276,10,55,18,9839
2025-12-07 13:31:53.282000+00:00,1276,30,4,5,9839
2025-12-07 13:32:16.603000+00:00,1276,31,22,3,9839
2025-12-07 13:32:25.091000+00:00,1276,31,4,4,9839
2025-12-07 13:32:26.134000+00:00,1276,31,30,5,9839
2025-12-07 13:32:26.707000+00:00,1276,31,18,6,9839
2025-12-07 13:32:27.149000+00:00,1276,31,16,7,9839
2025-12-07 13:32:28.090000+00:00,1276,31,12,8,9839
2025-12-07 13:32:28.812000+00:00,1276,31,63,9,9839
2025-12-07 13:32:29.628000+00:00,1276,31,44,10,9839
2025-12-07 13:32:30.368000+00:00,1276,31,27,11,9839
2025-12-07 13:32:33.430000+00:00,1276,31,14,12,9839
2025-12-07 13:32:34.163000+00:00,1276,31,5,13,9839
2025-12-07 13:32:35.758000+00:00,1276,31,23,14,9839
2025-12-07 13:32:38.405000+00:00,1276,31,6,15,9839
2025-12-07 13:32:48.747000+00:00,1276,31,87,16,9839
2025-12-07 13:32:55.884000+00:00,1276,18,16,6,9839
2025-12-07 13:33:07.783000+00:00,1276,30,16,5,9839
2025-12-07 13:33:09.692000+00:00,1276,12,63,8,9839
2025-12-07 13:34:30.876000+00:00,1276,30,18,6,9839
2025-12-07 13:34:49.965000+00:00,1276,18,30,6,9839
2025-12-07 13:34:57.503000+00:00,1276,18,63,7,9839
2025-12-07 13:35:03.237000+00:00,1276,30,63,6,9839
2025-12-07 13:35:11.582000+00:00,1276,30,18,7,9839
2025-12-07 13:35:22.558000+00:00,1276,30,12,8,9839
2025-12-07 13:35:22.933000+00:00,1276,30,44,9,9839
2025-12-07 13:35:27.578000+00:00,1276,30,27,10,9839
2025-12-07 13:35:28.459000+00:00,1276,30,14,11,9839
2025-12-07 13:35:34.325000+00:00,1276,30,5,12,9839
2025-12-07 13:35:36.139000+00:00,1276,30,23,13,9839
2025-12-07 13:35:38.705000+00:00,1276,30,6,14,9839
2025-12-07 13:35:39.796000+00:00,1276,30,87,15,9839
2025-12-07 13:35:41.552000+00:00,1276,30,31,16,9839
2025-12-07 13:35:45.804000+00:00,1276,30,55,17,9839
2025-12-07 13:35:50.104000+00:00,1276,30,10,18,9839
2025-12-07 13:35:51.581000+00:00,1276,30,43,19,9839
2025-12-07 13:37:24.293000+00:00,1276,22,4,3,9839
2025-12-07 13:37:54.291000+00:00,1276,27,14,10,9839
2025-12-07 13:37:56.907000+00:00,1276,1,81,1,9839
2025-12-07 13:38:07.664000+00:00,1276,87,31,15,9839
2025-12-07 13:38:34.653000+00:00,1276,27,5,11,9839
2025-12-07 13:38:56.194000+00:00,1276,22,16,4,9839
2025-12-07 13:39:10.897000+00:00,1276,6,31,14,9839
2025-12-07 13:39:13.833000+00:00,1276,12,44,8,9839
2025-12-07 13:40:25.722000+00:00,1276,6,87,15,9839
2025-12-07 13:40:48.726000+00:00,1276,23,31,13,9839
2025-12-07 13:43:36.034000+00:00,1276,12,14,9,9839
2025-12-07 13:45:22.320000+00:00,1276,23,87,14,9839
2025-12-07 13:45:22.376000+00:00,1276,87,23,14,9839
2025-12-07 13:45:30.204000+00:00,1276,23,87,14,9839
2025-12-07 13:46:26.688000+00:00,1276,27,31,12,9839
2025-12-07 13:46:36.181000+00:00,1276,31,27,12,9839
2025-12-07 13:46:36.376000+00:00,1276,27,31,12,9839
2025-12-07 13:46:39.030000+00:00,1276,31,27,12,9839
2025-12-07 13:46:46.405000+00:00,1276,22,63,5,9839
2025-12-07 13:46:46.440000+00:00,1276,63,22,5,9839
2025-12-07 13:46:47.962000+00:00,1276,27,31,12,9839
2025-12-07 13:46:49.870000+00:00,1276,22,63,5,9839
2025-12-07 13:46:55.343000+00:00,1276,31,27,12,9839
2025-12-07 13:48:30.608000+00:00,1276,12,5,10,9839
2025-12-07 13:49:56.495000+00:00,1276,27,31,12,9839
2025-12-07 13:50:36.295000+00:00,1276,44,14,8,9839
2025-12-07 13:50:36.319000+00:00,1276,44,5,9,9839
2025-12-07 13:50:38.120000+00:00,1276,44,12,10,9839
2025-12-07 13:50:38.600000+00:00,1276,44,31,11,9839
2025-12-07 13:50:39.331000+00:00,1276,44,27,12,9839
2025-12-07 13:50:39.818000+00:00,1276,44,87,13,9839
2025-12-07 13:50:40.958000+00:00,1276,44,23,14,9839
2025-12-07 13:50:42.319000+00:00,1276,44,6,15,9839
2025-12-07 13:50:43.008000+00:00,1276,44,55,16,9839
2025-12-07 13:50:46.754000+00:00,1276,44,10,17,9839
2025-12-07 13:50:57.521000+00:00,1276,44,43,18,9839
2025-12-07 13:51:10.456000+00:00,1276,12,31,10,9839
2025-12-07 13:51:30.938000+00:00,1276,6,55,15,9839
2025-12-07 13:52:00.840000+00:00,1276,22,18,6,9839
2025-12-07 13:52:04.402000+00:00,1276,12,27,11,9839
2025-12-07 13:52:04.982000+00:00,1276,12,87,12,9839
2025-12-07 13:52:05.151000+00:00,1276,22,14,7,9839
2025-12-07 13:52:05.987000+00:00,1276,22,5,8,9839
2025-12-07 13:52:07.850000+00:00,1276,22,31,9,9839
2025-12-07 13:52:09.456000+00:00,1276,22,27,10,9839
2025-12-07 13:52:10.008000+00:00,1276,22,87,11,9839
2025-12-07 13:52:11.410000+00:00,1276,12,23,13,9839
2025-12-07 13:52:11.410000+00:00,1276,22,23,12,9839
