Date,Status,X,Y,Z,Source,Time,SessionTime,Driver
2025-12-07 12:20:41.792,OnTrack,0.0,0.0,0.0,pos,0 days 00:15:34.729000,0 days 00:15:34.729000,1
2025-12-07 12:20:54.732,OnTrack,0.0,0.0,0.0,pos,0 days 00:15:47.669000,0 days 00:15:47.669000,1
2025-12-07 12:21:07.531,OnTrack,0.0,0.0,0.0,pos,0 days 00:16:00.468000,0 days 00:16:00.468000,1
2025-12-07 12:21:20.571,OnTrack,0.0,0.0,0.0,pos,0 days 00:16:13.508000,0 days 00:16:13.508000,1
2025-12-07 12:21:33.931,OnTrack,1966.0,2102.0,0.0,pos,0 days 00:16:26.868000,0 days 00:16:26.868000,1
2025-12-07 12:21:48.012,OnTrack,3737.0,2319.0,0.0,pos,0 days 00:16:40.949000,0 days 00:16:40.949000,1
2025-12-07 12:22:01.552,OnTrack,4419.0,2404.0,0.0,pos,0 days 00:16:54.489000,0 days 00:16:54.489000,1
2025-12-07 12:22:15.671,OnTrack,2198.0,7036.0,-138.0,pos,0 days 00:17:08.608000,0 days 00:17:08.608000,1
2025-12-07 12:22:28.831,OnTrack,812.0,9596.0,-216.0,pos,0 days 00:17:21.768000,0 days 00:17:21.768000,1
2025-12-07 12:22:42.431,OnTrack,-2121.0,604.0,-231.0,pos,0 days 00:17:35.368000,0 days 00:17:35.368000,1
2025-12-07 12:22:54.892,OnTrack,2178.0,-3941.0,-228.0,pos,0 days 00:17:47.829000,0 days 00:17:47.829000,1
2025-12-07 12:23:07.892,OnTrack,2160.0,-3139.0,-232.0,pos,0 days 00:18:00.829000,0 days 00:18:00.829000,1
2025-12-07 12:23:20.872,OnTrack,1008.0,-150.0,-232.0,pos,0 days 00:18:13.809000,0 days 00:18:13.809000,1
2025-12-07 12:23:33.572,OnTrack,-237.0,1832.0,-222.0,pos,0 days 00:18:26.509000,0 days 00:18:26.509000,1
2025-12-07 12:23:47.911,OnTrack,1945.0,2100.0,-222.0,pos,0 days 00:18:40.848000,0 days 00:18:40.848000,1
2025-12-07 12:24:00.212,OnTrack,3020.0,2233.0,-222.0,pos,0 days 00:18:53.149000,0 days 00:18:53.149000,1
2025-12-07 12:24:13.512,OnTrack,4375.0,2823.0,-222.0,pos,0 days 00:19:06.449000,0 days 00:19:06.449000,1
2025-12-07 12:24:25.992,OnTrack,2373.0,9993.0,-212.0,pos,0 days 00:19:18.929000,0 days 00:19:18.929000,1
2025-12-07 12:24:38.812,OnTrack,-97.0,6996.0,-214.0,pos,0 days 00:19:31.749000,0 days 00:19:31.749000,1
2025-12-07 12:24:52.352,OnTrack,-1422.0,256.0,-210.0,pos,0 days 00:19:45.289000,0 days 00:19:45.289000,1
2025-12-07 12:25:06.131,OnTrack,5582.0,-5179.0,-236.0,pos,0 days 00:19:59.068000,0 days 00:19:59.068000,1
2025-12-07 12:25:18.772,OnTrack,2022.0,-1401.0,-233.0,pos,0 days 00:20:11.709000,0 days 00:20:11.709000,1
2025-12-07 12:25:32.711,OnTrack,-1063.0,1133.0,-222.0,pos,0 days 00:20:25.648000,0 days 00:20:25.648000,1
2025-12-07 12:25:45.711,OnTrack,1174.0,2004.0,-222.0,pos,0 days 00:20:38.648000,0 days 00:20:38.648000,1
2025-12-07 12:25:58.192,OnTrack,2392.0,2155.0,-222.0,pos,0 days 00:20:51.129000,0 days 00:20:51.129000,1
2025-12-07 12:26:11.751,OnTrack,3949.0,2344.0,-222.0,pos,0 days 00:21:04.688000,0 days 00:21:04.688000,1
2025-12-07 12:26:25.851,OnTrack,2279.0,7516.0,-154.0,pos,0 days 00:21:18.788000,0 days 00:21:18.788000,1
2025-12-07 12:26:40.451,OnTrack,336.0,8235.0,-214.0,pos,0 days 00:21:33.388000,0 days 00:21:33.388000,1
2025-12-07 12:26:53.511,OnTrack,-1787.0,606.0,-223.0,pos,0 days 00:21:46.448000,0 days 00:21:46.448000,1
2025-12-07 12:27:08.531,OnTrack,5175.0,-5345.0,-231.0,pos,0 days 00:22:01.468000,0 days 00:22:01.468000,1
2025-12-07 12:27:20.831,OnTrack,1675.0,-1471.0,-232.0,pos,0 days 00:22:13.768000,0 days 00:22:13.768000,1
2025-12-07 12:27:34.491,OnTrack,-809.0,590.0,-220.0,pos,0 days 00:22:27.428000,0 days 00:22:27.428000,1
2025-12-07 12:27:47.851,OnTrack,731.0,1949.0,-222.0,pos,0 days 00:22:40.788000,0 days 00:22:40.788000,1
2025-12-07 12:28:02.551,OnTrack,2728.0,2197.0,-222.0,pos,0 days 00:22:55.488000,0 days 00:22:55.488000,1
2025-12-07 12:28:15.351,OnTrack,4208.0,3241.0,-222.0,pos,0 days 00:23:08.288000,0 days 00:23:08.288000,1
2025-12-07 12:28:27.751,OnTrack,2275.0,11074.0,-209.0,pos,0 days 00:23:20.688000,0 days 00:23:20.688000,1
2025-12-07 12:28:40.591,OnTrack,-463.0,5948.0,-213.0,pos,0 days 00:23:33.528000,0 days 00:23:33.528000,1
2025-12-07 12:28:54.670,OnTrack,-1194.0,-563.0,-210.0,pos,0 days 00:23:47.607000,0 days 00:23:47.607000,1
2025-12-07 12:29:07.630,OnTrack,5796.0,-4753.0,-232.0,pos,0 days 00:24:00.567000,0 days 00:24:00.567000,1
2025-12-07 12:29:20.770,OnTrack,2507.0,-1318.0,-232.0,pos,0 days 00:24:13.707000,0 days 00:24:13.707000,1
2025-12-07 12:29:32.751,OnTrack,-837.0,637.0,-220.0,pos,0 days 00:24:25.688000,0 days 00:24:25.688000,1
2025-12-07 12:29:45.551,OnTrack,-536.0,1991.0,-222.0,pos,0 days 00:24:38.488000,0 days 00:24:38.488000,1
2025-12-07 12:29:58.831,OnTrack,-536.0,1991.0,-222.0,pos,0 days 00:24:51.768000,0 days 00:24:51.768000,1
2025-12-07 12:30:11.811,OnTrack,-536.0,1991.0,-222.0,pos,0 days 00:25:04.748000,0 days 00:25:04.748000,1
2025-12-07 12:30:24.811,OnTrack,-531.0,1992.0,-222.0,pos,0 days 00:25:17.748000,0 days 00:25:17.748000,1
2025-12-07 12:30:37.731,OnTrack,-518.0,1994.0,-222.0,pos,0 days 00:25:30.668000,0 days 00:25:30.668000,1
2025-12-07 12:30:50.811,OnTrack,-515.0,1995.0,-222.0,pos,0 days 00:25:43.748000,0 days 00:25:43.748000,1
2025-12-07 12:31:03.071,OnTrack,-513.0,1995.0,-222.0,pos,0 days 00:25:56.008000,0 days 00:25:56.008000,1
2025-12-07 12:31:17.031,OnTrack,-334.0,2016.0,-224.0,pos,0 days 00:26:09.968000,0 days 00:26:09.968000,1
2025-12-07 12:31:32.130,OnTrack,53.0,2038.0,-235.0,pos,0 days 00:26:25.067000,0 days 00:26:25.067000,1
2025-12-07 12:31:44.330,OnTrack,93.0,2040.0,-235.0,pos,0 days 00:26:37.267000,0 days 00:26:37.267000,1
2025-12-07 12:31:59.191,OnTrack,431.0,2063.0,-239.0,pos,0 days 00:26:52.128000,0 days 00:26:52.128000,1
2025-12-07 12:32:12.691,OnTrack,452.0,2066.0,-239.0,pos,0 days 00:27:05.628000,0 days 00:27:05.628000,1
2025-12-07 12:32:25.711,OnTrack,452.0,2066.0,-239.0,pos,0 days 00:27:18.648000,0 days 00:27:18.648000,1
2025-12-07 12:32:38.531,OnTrack,475.0,2069.0,-239.0,pos,0 days 00:27:31.468000,0 days 00:27:31.468000,1
2025-12-07 12:32:51.871,OnTrack,491.0,2071.0,-239.0,pos,0 days 00:27:44.808000,0 days 00:27:44.808000,1
2025-12-07 12:33:05.211,OnTrack,491.0,2071.0,-239.0,pos,0 days 00:27:58.148000,0 days 00:27:58.148000,1
2025-12-07 12:33:19.071,OnTrack,511.0,2073.0,-239.0,pos,0 days 00:28:12.008000,0 days 00:28:12.008000,1
2025-12-07 12:33:32.371,OnTrack,535.0,2076.0,-239.0,pos,0 days 00:28:25.308000,0 days 00:28:25.308000,1
2025-12-07 12:33:43.970,OnTrack,562.0,2080.0,-239.0,pos,0 days 00:28:36.907000,0 days 00:28:36.907000,1
2025-12-07 12:33:55.910,OnTrack,564.0,2080.0,-239.0,pos,0 days 00:28:48.847000,0 days 00:28:48.847000,1
